src,flags,runs,times,median_time,compile_cmd,timestamp,program,runtime
sort_big.cpp,-O3 -ffast-math,7,"[0.00530045, 0.00497037, 0.00484219, 0.00503426, 0.00492573, 0.00497181, 0.00546048]",0.00497181,g++ sort_big.cpp -o a.out -O3 -ffast-math,2025-11-11T17:59:41.886931Z,sort_big,0.00497181
matmul.cpp,-O3,7,"[0.0545069, 0.069582, 0.0553106, 0.054548, 0.0443042, 0.0431043, 0.0489025]",0.0545069,g++ matmul.cpp -o a.out -O3,2025-11-11T18:15:04.195884Z,matmul,0.0545069
matmul.cpp,-O2,7,"[0.0830198, 0.081138, 0.0829303, 0.0756853, 0.0699276, 0.0802939, 0.0801121]",0.0802939,g++ matmul.cpp -o a.out -O2,2025-11-11T18:15:14.941811Z,matmul,0.0802939
matmul.cpp,-O1,7,"[0.0944607, 0.0858245, 0.0807905, 0.0892428, 0.0794562, 0.0752861, 0.0751944]",0.0807905,g++ matmul.cpp -o a.out -O1,2025-11-11T18:15:43.736704Z,matmul,0.0807905
matmul.cpp,-Ofast,7,"[0.0461319, 0.0396597, 0.0411929, 0.0403961, 0.0405747, 0.0394457, 0.0397234]",0.0403961,g++ matmul.cpp -o a.out -Ofast,2025-11-11T18:16:22.677465Z,matmul,0.0403961
matmul.cpp,-Os,7,"[0.103979, 0.129883, 0.116944, 0.100224, 0.102637, 0.10808, 0.0881241]",0.103979,g++ matmul.cpp -o a.out -Os,2025-11-11T18:16:34.065384Z,matmul,0.103979
matmul.cpp,-funroll-loops,7,"[0.513341, 0.541868, 0.498861, 0.488634, 0.594328, 0.567063, 0.575134]",0.541868,g++ matmul.cpp -o a.out -funroll-loops,2025-11-11T18:16:51.759511Z,matmul,0.541868
matmul.cpp,-ftree-vectorize,7,"[0.536047, 0.610725, 0.536855, 0.492252, 0.497047, 0.489429, 0.495837]",0.497047,g++ matmul.cpp -o a.out -ftree-vectorize,2025-11-11T18:17:17.610064Z,matmul,0.497047
matmul.cpp,-ffast-math,7,"[0.496367, 0.49679, 0.501378, 0.491706, 0.501924, 0.506076, 0.505498]",0.501378,g++ matmul.cpp -o a.out -ffast-math,2025-11-11T18:17:46.971199Z,matmul,0.501378
matmul.cpp,-march=native,7,"[0.557509, 0.538364, 0.494087, 0.500656, 0.49162, 0.495193]",0.4979245,g++ matmul.cpp -o a.out -march=native,2025-11-11T18:18:02.556972Z,matmul,0.4979245
matmul.cpp,-flto,7,"[0.489055, 0.486211, 0.49606, 0.491344, 0.489243, 0.490569, 0.494118]",0.490569,g++ matmul.cpp -o a.out -flto,2025-11-11T18:18:31.297715Z,matmul,0.490569
matmul.cpp,-fomit-frame-pointer,7,"[0.541787, 0.468201, 0.452101, 0.443681, 0.443788, 0.446479, 0.447196]",0.447196,g++ matmul.cpp -o a.out -fomit-frame-pointer,2025-11-11T18:18:50.276994Z,matmul,0.447196
matmul.cpp,-O1 -funroll-loops,7,"[0.0754201, 0.0723026, 0.0717491, 0.0723646, 0.0728052, 0.0636596, 0.0703213]",0.0723026,g++ matmul.cpp -o a.out -O1 -funroll-loops,2025-11-11T18:19:24.480619Z,matmul,0.0723026
matmul.cpp,-O1 -ftree-vectorize,7,"[0.09031, 0.0553676, 0.0581192, 0.0634344, 0.0627858, 0.064377, 0.0623921]",0.0627858,g++ matmul.cpp -o a.out -O1 -ftree-vectorize,2025-11-11T18:19:40.418322Z,matmul,0.0627858
matmul.cpp,-O1 -ffast-math,7,"[0.0995169, 0.120047, 0.112645, 0.112089, 0.122696, 0.153252, 0.0846349]",0.112645,g++ matmul.cpp -o a.out -O1 -ffast-math,2025-11-11T18:20:07.466000Z,matmul,0.112645
matmul.cpp,-O2 -funroll-loops,7,"[0.0750045, 0.0739667, 0.0745996, 0.0721919, 0.073891, 0.0738733, 0.0768389]",0.0739667,g++ matmul.cpp -o a.out -O2 -funroll-loops,2025-11-11T18:20:20.449494Z,matmul,0.0739667
matmul.cpp,-O2 -ftree-vectorize,7,"[0.0550618, 0.0551193, 0.0550276, 0.0565793, 0.052659, 0.0516234, 0.0559945]",0.0550618,g++ matmul.cpp -o a.out -O2 -ftree-vectorize,2025-11-11T18:20:31.304155Z,matmul,0.0550618
matmul.cpp,-O2 -ffast-math,7,"[0.0827153, 0.0825644, 0.0812883, 0.082211, 0.0802463, 0.0830849, 0.0830088]",0.0825644,g++ matmul.cpp -o a.out -O2 -ffast-math,2025-11-11T18:20:38.919343Z,matmul,0.0825644
matmul.cpp,-O3 -funroll-loops,7,"[0.0424145, 0.0406167, 0.0392498, 0.0378803, 0.0389663, 0.0386296, 0.0391835]",0.0391835,g++ matmul.cpp -o a.out -O3 -funroll-loops,2025-11-11T18:21:04.502382Z,matmul,0.0391835
matmul.cpp,-O3 -ftree-vectorize,7,"[0.0551019, 0.0395125, 0.0404402, 0.0398378, 0.0405329, 0.0397425, 0.0405837]",0.0404402,g++ matmul.cpp -o a.out -O3 -ftree-vectorize,2025-11-11T18:21:31.667015Z,matmul,0.0404402
matmul.cpp,-O3 -ffast-math,7,"[0.0444158, 0.0385704, 0.041439, 0.0410924, 0.0420575, 0.041443, 0.0402635]",0.041439,g++ matmul.cpp -o a.out -O3 -ffast-math,2025-11-11T18:21:37.861937Z,matmul,0.041439
matmul.cpp,-Ofast -ffast-math,7,"[0.041188, 0.0395376, 0.039612, 0.0378028, 0.0403102, 0.0401866, 0.0411445]",0.0401866,g++ matmul.cpp -o a.out -Ofast -ffast-math,2025-11-11T18:22:28.830435Z,matmul,0.0401866
matmul.cpp,-Os -ffast-math,7,"[0.085399, 0.0903014, 0.0925302, 0.0857666, 0.0898833, 0.0934815, 0.0906054]",0.0903014,g++ matmul.cpp -o a.out -Os -ffast-math,2025-11-11T18:22:36.220845Z,matmul,0.0903014
pointer_chase.cpp,-O1,7,"[0.30665, 0.306844, 0.253795, 0.264865, 0.265405, 0.252798, 0.251206]",0.264865,g++ pointer_chase.cpp -o a.out -O1,2025-11-12T14:00:55.555820Z,pointer_chase,0.264865
pointer_chase.cpp,-O2,7,"[0.258111, 0.251396, 0.25911, 0.261667, 0.253737, 0.262785, 0.275581]",0.25911,g++ pointer_chase.cpp -o a.out -O2,2025-11-12T14:01:03.481382Z,pointer_chase,0.25911
pointer_chase.cpp,-O3,7,"[0.245858, 0.244184, 0.33355, 0.240259, 0.26119, 0.251869, 0.240945]",0.245858,g++ pointer_chase.cpp -o a.out -O3,2025-11-12T14:01:14.751780Z,pointer_chase,0.245858
